graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
264,9,8,9,9,9
265,6,7,7,6,7
266,8,8,8,8,8
267,7,7,6,7,7
268,8,8,7,6,8
269,7,7,5,7,7
270,7,7,6,6,7
271,7,8,6,6,8
272,7,7,5,7,7
273,7,7,7,7,7
274,7,8,7,8,7
275,8,6,8,8,8
276,8,6,6,8,8
277,8,7,7,6,8
278,8,7,6,8,6
279,8,8,8,8,8
280,7,7,6,6,8
281,7,8,4,8,8
282,6,7,8,8,8
283,8,7,8,8,8
284,7,6,6,6,8
285,8,7,6,8,8
286,9,8,7,9,9
287,9,7,7,9,9
288,8,8,7,9,7
289,9,7,7,7,7
290,10,9,8,10,10
291,10,8,8,7,10
292,7,7,6,6,7
293,6,7,4,6,5
294,8,8,2,8,8
295,8,7,5,8,8
296,8,7,8,8,8
297,8,8,5,8,8
298,8,8,6,6,7
299,8,8,6,7,6
300,8,8,8,8,8
301,8,7,7,7,8
302,7,7,6,6,5
303,8,7,8,8,8
304,6,8,6,6,8
305,8,8,8,8,8
306,8,8,6,8,8
307,8,8,6,8,8
308,8,8,8,8,8
309,8,7,6,8,8
310,8,8,5,5,8
311,8,7,8,8,8
312,8,8,8,8,8
313,9,9,5,6,9
314,7,8,8,6,8
315,9,9,8,8,9
316,8,7,7,8,7
317,9,9,7,8,9
318,7,7,4,8,8
319,9,9,8,9,9
320,8,8,8,8,8
321,8,7,8,7,8
322,9,8,8,8,9
323,8,7,8,6,8
324,9,8,8,8,9
325,7,8,7,7,7
326,7,7,6,6,7
327,8,8,7,7,8
328,7,7,6,6,7
329,7,8,8,6,8
330,8,7,7,7,8
331,8,7,7,8,8
332,8,7,6,7,7
333,8,8,8,8,8
334,8,7,7,8,8
335,8,7,7,7,8
336,7,7,4,8,6
337,9,8,6,7,9
338,8,7,6,5,5
339,9,8,8,8,9
340,7,6,7,7,7
341,7,7,6,6,7
342,8,7,8,8,7
343,8,7,7,6,8
344,8,8,7,8,8
345,7,6,7,7,6
346,8,7,8,8,8
347,7,7,8,8,8
348,8,7,8,8,8
349,8,7,6,6,8
350,7,6,7,6,8
351,8,7,7,6,7
352,9,8,4,9,9
353,9,8,7,6,7
354,9,8,8,8,9
355,9,7,8,9,8
356,8,8,6,8,8
357,9,8,7,9,9
358,9,8,8,6,9
359,9,9,7,9,9
360,9,8,7,9,9
361,9,9,7,9,8
362,8,7,7,8,8
363,8,7,4,6,8
364,8,8,6,7,8
365,8,8,6,8,8
366,8,9,6,9,9
367,8,8,6,6,8
368,8,7,6,8,8
369,8,8,8,6,8
370,8,8,4,7,8
371,9,9,7,7,9
372,9,9,7,9,9
373,9,7,9,8,9
374,9,8,7,9,9
375,8,8,7,9,9
376,9,7,4,9,9
377,9,8,7,8,8
378,9,8,9,9,9
379,9,9,8,8,9
380,8,8,7,7,8
381,9,9,6,8,9
382,7,8,9,9,9
383,8,7,8,8,9
384,9,8,9,9,9
385,9,8,8,9,8
386,9,9,8,9,9
387,10,9,8,8,10
388,10,8,8,10,10
389,10,9,10,10,9
390,10,8,10,10,8
391,10,9,10,10,10
392,10,9,10,10,10
393,7,6,6,7,7
394,7,6,6,6,7
395,6,6,6,6,6
396,7,6,3,7,7
397,7,6,7,5,7
398,7,7,7,7,6
399,7,7,7,7,7
400,7,6,7,7,6
401,8,7,6,6,7
402,8,7,6,6,6
403,8,8,4,8,8
404,8,7,7,8,7
405,8,8,5,7,8
406,8,8,6,6,8
407,8,8,6,8,8
408,7,9,8,8,9
409,9,8,9,8,8
410,9,8,8,8,9
411,9,8,8,8,9
412,10,7,8,10,10
413,10,7,10,10,10
414,10,8,10,10,10
415,8,10,10,10,10
416,8,8,10,8,10
417,7,7,3,7,7
418,7,6,6,7,7
419,7,6,4,6,8
420,8,7,6,8,8
421,8,8,8,8,6
422,6,6,6,6,6
423,7,6,4,7,7
424,6,6,6,6,7
425,7,7,4,7,8
426,6,6,4,7,7
427,7,6,4,7,7
428,7,6,6,6,7
429,7,7,6,5,7
430,7,7,6,6,7
431,7,7,5,7,7
432,7,6,5,7,7
433,7,7,7,7,7
434,6,6,3,7,7
435,7,7,5,7,7
436,7,7,5,7,7
437,8,8,4,8,8
438,8,7,4,6,8
439,8,6,4,8,8
440,6,7,7,8,8
441,7,6,7,8,8
442,8,7,7,5,8
443,8,7,6,7,7
444,8,8,7,8,8
445,7,7,6,6,8
446,7,7,7,7,7
447,8,7,7,7,8
448,8,7,8,8,8
449,8,8,8,8,8
450,8,7,4,6,8
451,8,7,4,6,8
452,8,7,6,8,8
453,9,7,5,9,8
454,9,7,7,7,8
455,8,8,7,9,9
456,8,8,7,9,8
457,8,8,8,6,8
458,7,7,8,6,5
459,8,8,8,8,8
460,8,8,8,8,8
461,9,6,5,5,9
462,7,7,6,5,8
463,9,7,7,8,8
464,8,7,8,7,8
465,9,7,8,8,9
466,8,8,7,8,8
467,8,8,5,8,8
468,8,8,9,8,8
469,8,7,8,8,8
470,7,8,6,6,8
471,8,8,8,6,8
472,9,8,7,9,7
473,9,8,8,9,9
474,9,8,8,8,9
475,8,9,7,9,9
476,8,9,8,8,8
477,8,8,6,8,8
478,7,8,8,8,8
479,8,8,6,8,8
480,8,8,8,8,8
481,9,7,5,9,9
482,9,8,9,8,9
483,9,7,6,6,9
484,7,8,8,8,9
485,8,8,4,9,9
486,9,9,8,9,9
487,8,8,9,7,6
488,9,8,8,8,9
489,9,8,6,7,9
490,9,8,5,7,8
491,9,8,6,7,9
492,9,9,8,8,9
493,9,9,8,8,9
494,9,8,7,9,9
495,9,8,9,9,9
496,9,8,8,8,7
497,10,8,6,6,10
498,9,9,7,7,10
499,10,9,8,10,10
500,10,10,6,10,10
501,9,10,8,8,8
502,8,7,8,6,8
503,8,8,8,8,8
504,9,7,9,9,9
505,8,8,8,6,8
506,8,8,9,8,8
507,8,8,8,8,8
508,10,7,7,10,6
509,10,8,10,10,10
510,10,9,10,10,10
511,9,8,8,7,8
512,9,9,8,8,9
513,9,9,8,8,7
514,10,8,5,10,10
515,10,9,10,8,10
516,9,8,9,9,9
517,10,9,7,10,7
518,10,9,8,10,10
519,8,7,6,6,9
520,8,7,8,8,9
521,8,8,6,6,8
522,8,7,7,9,9
523,7,8,7,7,9
524,8,7,8,8,9
525,9,7,9,8,9
526,8,8,8,8,8
527,9,7,6,6,9
528,9,8,5,5,9
529,9,7,8,8,9
530,9,8,7,7,7
531,9,8,7,7,9
532,8,8,8,8,9
533,9,7,8,8,9
534,9,9,8,8,9
535,9,9,8,8,9
536,10,8,6,6,10
537,10,9,8,7,10
538,10,8,10,10,9
539,9,9,10,8,10
540,11,8,9,11,11
541,11,8,8,8,11
542,11,9,8,8,9
543,11,9,8,8,11
544,8,8,6,6,8
545,9,9,8,8,9
546,9,8,7,7,8
547,9,9,7,9,7
548,9,8,9,9,9
549,6,7,9,9,9
550,9,8,8,8,9
551,9,7,10,10,10
552,10,8,10,10,10
553,7,9,10,10,10
554,8,8,9,9,8
555,10,9,10,10,10
556,9,8,8,7,9
557,9,9,9,9,7
558,10,10,7,6,10
559,9,9,9,10,10
560,10,9,8,10,10
561,10,10,6,6,10
562,9,9,7,8,9
563,9,9,9,9,9
564,10,10,9,10,10
565,10,10,10,10,10
566,9,9,9,7,9
567,10,10,6,6,10
568,10,8,10,7,10
569,10,9,8,10,8
570,10,8,6,6,10
571,10,9,8,6,8
572,6,10,8,8,10
573,9,8,8,10,10
574,10,8,6,7,7
575,10,9,10,10,7
576,9,9,8,7,10
577,10,9,8,10,10
578,9,8,10,9,10
579,10,8,9,10,9
580,11,9,9,11,10
581,11,9,8,8,11
582,11,9,8,11,11
583,11,10,10,10,10
584,11,10,6,11,10
585,8,10,10,11,10
586,12,9,8,12,10
587,12,10,8,10,12
588,12,10,7,8,12
589,8,8,4,8,8
590,8,7,4,8,8
591,8,7,4,8,7
592,8,8,6,8,7
593,9,9,3,3,9
594,9,7,3,8,8
595,9,8,7,9,7
596,9,9,9,9,9
597,9,8,7,6,9
598,8,8,6,8,8
599,8,8,6,8,8
600,8,9,6,9,8
601,6,6,7,8,8
602,7,7,8,8,8
603,9,9,7,9,7
604,9,8,7,9,9
605,9,7,7,9,9
606,9,8,8,8,8
607,9,8,9,9,9
608,9,9,9,9,9
609,10,9,10,8,10
610,10,9,8,8,10
611,9,8,8,8,9
612,9,8,9,7,6
613,9,9,8,8,10
614,9,9,10,10,10
615,8,8,6,8,8
616,8,8,7,8,8
617,9,8,5,5,9
618,9,9,7,7,8
619,9,9,8,8,9
620,9,8,9,9,9
621,9,8,8,8,8
622,8,8,8,8,9
623,9,9,9,9,9
624,9,9,8,8,9
625,9,9,10,8,9
626,9,9,9,9,8
627,8,9,8,8,9
628,9,9,8,8,8
629,9,9,7,8,9
630,10,8,7,7,10
631,10,8,7,10,10
632,10,9,7,10,10
633,10,9,10,10,10
634,10,10,8,8,8
635,10,8,10,10,9
636,10,8,6,6,10
637,7,8,6,8,8
638,9,9,10,10,10
639,10,9,8,8,8
640,10,9,7,6,9
641,10,9,8,9,9
642,10,10,8,10,10
643,10,10,7,10,10
644,10,10,9,10,8
645,9,10,10,10,9
646,10,10,10,10,9
647,10,8,10,8,10
648,8,9,8,8,9
649,9,9,9,9,9
650,9,9,10,10,9
651,10,8,10,10,10
652,9,9,8,8,9
653,10,8,8,8,7
654,10,8,7,10,10
655,9,9,8,10,10
656,10,10,7,8,10
657,10,9,5,9,6
658,10,10,8,10,9
659,10,9,9,11,11
660,11,9,9,8,11
661,10,10,9,9,8
662,11,10,10,10,10
663,9,9,9,8,9
664,9,9,6,9,10
665,10,9,9,10,10
666,10,8,9,8,8
667,10,9,10,10,10
668,10,9,8,8,10
669,10,9,6,10,8
670,10,9,10,10,10
671,10,10,10,10,10
672,10,10,10,10,10
673,10,8,6,8,9
674,10,9,9,9,10
675,10,10,6,7,9
676,9,9,9,9,9
677,10,9,9,10,10
678,10,10,9,9,9
679,9,9,10,10,9
680,10,9,10,8,9
681,11,8,10,10,11
682,11,8,10,8,9
683,11,9,10,10,10
684,11,9,10,10,11
685,10,8,6,6,10
686,10,8,5,7,10
