graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
1,5,5,5,5,5
2,5,5,5,5,5
3,5,5,5,5,5
4,5,4,5,5,5
5,5,5,5,5,5
6,5,5,5,5,5
7,6,6,4,4,6
8,6,5,5,6,6
9,6,6,2,6,6
10,6,5,6,6,6
11,7,7,3,6,7
12,7,5,6,6,7
13,8,8,8,8,8
14,8,5,8,8,8
15,5,5,5,5,5
16,5,5,3,3,5
17,5,5,4,4,5
18,5,5,5,5,5
19,5,5,3,3,5
20,5,5,5,5,5
21,5,5,4,5,5
22,5,5,4,4,5
23,6,6,5,6,6
24,6,5,5,6,6
25,6,6,6,6,6
26,6,6,6,6,6
27,6,5,6,5,6
28,5,6,6,6,6
29,5,5,4,5,5
30,5,5,5,5,5
31,6,6,4,6,6
32,6,5,5,6,6
33,6,5,4,6,6
34,6,6,5,6,6
35,6,6,6,6,6
36,7,6,5,7,7
37,7,6,5,7,7
38,6,5,5,6,6
39,6,6,6,6,6
40,6,6,4,6,6
41,7,5,6,6,7
42,7,5,6,6,7
43,7,6,6,6,7
44,8,7,4,8,7
45,8,6,4,8,8
46,6,6,4,6,6
47,6,6,6,6,6
48,6,5,6,5,6
49,6,6,6,6,6
50,6,6,6,6,6
51,6,5,4,6,6
52,6,6,5,6,6
53,7,7,4,7,7
54,7,5,4,4,7
55,5,6,6,5,6
56,6,6,6,6,6
57,7,6,6,4,5
58,7,7,6,6,6
59,7,7,3,7,7
60,7,6,5,6,6
61,7,7,7,7,7
62,7,6,7,6,6
63,7,6,7,6,7
64,7,7,7,7,7
65,7,6,7,7,7
66,8,8,4,8,8
67,8,6,5,6,8
68,8,6,6,6,8
69,8,7,6,7,7
70,8,7,7,7,8
71,8,8,6,6,6
72,9,9,9,9,9
73,9,7,9,9,6
74,9,8,8,8,9
75,9,8,9,9,9
76,5,5,5,5,5
77,6,5,4,6,6
78,5,6,5,6,6
79,6,5,4,4,6
80,5,6,4,6,6
81,7,7,6,6,7
82,6,5,6,6,6
83,7,6,6,6,6
84,7,6,5,7,7
85,7,6,7,7,7
86,7,6,7,7,7
87,8,7,8,8,8
88,8,7,8,8,8
89,5,7,4,5,7
90,7,7,5,6,7
91,8,6,8,8,8
92,8,6,8,6,8
93,8,7,8,8,7
94,8,7,8,8,8
95,6,5,4,4,6
96,7,5,4,7,7
97,6,6,6,7,7
98,7,7,7,7,5
99,7,6,7,7,7
100,7,7,6,6,6
101,8,7,7,8,8
102,8,7,7,7,8
103,8,8,7,8,8
104,9,8,9,9,9
105,9,7,7,6,9
106,8,8,8,8,8
107,7,7,6,6,8
108,9,7,6,9,9
109,8,8,8,8,8
110,8,8,8,8,8
111,5,8,9,8,9
112,8,9,9,9,9
