graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
163,8,8,6,6,8
164,9,8,7,7,9
165,9,8,4,9,9
166,9,9,7,7,9
167,9,9,8,8,9
168,9,6,9,6,5
169,9,7,6,9,8
170,7,7,7,7,7
171,8,8,3,8,8
172,8,7,6,6,8
173,8,8,8,6,6
174,8,8,8,6,7
175,9,9,8,8,9
176,9,7,7,8,9
177,9,9,5,9,9
178,9,9,8,8,9
179,8,7,8,8,6
180,8,8,6,5,8
181,8,8,6,6,8
182,8,7,8,7,8
183,8,7,6,8,8
184,9,9,8,8,9
185,9,8,8,8,9
186,9,8,8,9,9
187,9,8,8,8,7
188,10,10,7,10,10
189,10,8,10,10,10
190,10,9,7,10,10
191,10,9,10,10,10
192,10,7,6,9,10
193,9,9,8,8,9
194,9,7,8,9,9
195,9,8,6,8,9
196,10,10,9,9,10
197,10,10,10,10,10
198,8,8,6,8,9
199,8,8,8,8,9
200,9,9,5,9,9
201,9,9,8,7,9
202,9,9,8,8,9
203,8,8,10,9,10
204,10,9,10,10,10
205,10,10,10,10,10
206,10,10,10,10,10
207,8,7,8,6,8
208,7,7,7,7,7
209,7,7,7,7,7
210,7,7,7,7,7
211,8,8,6,8,8
212,8,8,6,6,8
213,7,7,5,6,8
214,8,8,8,8,8
215,7,7,7,7,7
216,8,8,8,8,8
217,7,7,6,8,8
218,8,8,8,8,8
219,8,7,5,7,8
220,8,8,7,8,8
221,9,9,5,4,9
222,9,7,9,9,9
223,9,8,8,9,9
224,8,7,8,8,8
225,8,8,8,8,8
226,7,8,8,8,7
227,7,7,8,8,8
228,8,8,8,8,8
229,8,8,6,6,8
230,8,7,7,7,8
231,8,8,4,8,8
232,9,8,6,9,9
233,8,8,6,8,8
234,8,7,6,8,8
235,9,9,9,9,9
236,9,8,6,9,9
237,9,8,9,9,7
238,9,9,9,9,5
239,7,7,5,7,7
240,8,7,8,8,8
241,8,8,6,6,8
242,7,7,5,7,7
243,8,8,6,6,8
244,7,7,6,6,8
245,8,7,8,8,8
246,8,8,8,8,8
247,9,9,5,8,9
248,9,7,8,8,9
249,9,7,8,9,9
250,9,8,8,7,9
251,8,7,8,8,8
252,8,7,6,8,8
253,8,8,8,8,8
254,9,9,9,9,9
255,9,7,6,9,9
256,9,7,5,9,9
257,9,8,9,9,9
258,8,7,8,8,8
259,8,7,7,8,8
260,8,8,8,8,8
261,9,9,9,9,9
262,9,7,4,9,9
263,9,7,6,9,9
264,9,8,9,9,9
265,10,10,4,9,10
266,10,7,6,6,10
267,10,7,6,10,10
268,10,8,5,6,10
269,8,8,6,6,8
270,9,7,8,8,9
271,8,8,8,9,9
272,9,9,8,8,9
273,9,8,8,8,9
274,9,8,5,9,9
275,7,7,9,9,9
276,9,8,5,9,9
277,10,9,10,10,10
278,10,8,10,10,10
279,9,9,8,9,9
280,9,8,9,9,9
281,9,9,7,9,9
282,9,8,9,9,9
283,9,9,9,9,6
284,10,8,4,8,10
285,9,9,7,10,10
286,8,9,10,8,10
287,10,9,7,8,9
288,10,10,10,10,10
289,10,7,10,10,10
290,10,7,10,10,10
291,10,8,10,10,10
292,10,10,8,7,10
293,10,7,7,8,8
294,9,7,7,6,10
295,8,8,6,6,8
296,9,7,9,9,9
297,9,8,8,9,9
298,10,10,6,6,10
299,10,7,7,10,10
300,10,7,7,5,10
301,10,8,6,6,6
302,11,11,8,8,11
303,11,7,8,8,11
304,11,7,8,8,11
305,11,8,4,11,11
306,10,10,10,10,10
307,10,8,10,10,10
308,11,10,3,10,10
309,11,8,9,9,9
310,10,9,4,10,10
311,10,9,8,8,10
312,11,8,4,8,11
313,10,9,8,8,8
314,11,10,10,10,11
315,11,9,10,10,11
316,8,8,8,8,8
317,8,8,6,8,8
318,9,9,5,9,9
319,9,8,7,7,9
320,9,9,9,9,9
321,9,7,9,9,9
322,8,7,8,8,8
323,8,7,7,7,8
324,9,8,9,9,9
325,9,8,9,9,9
326,9,8,8,9,8
327,9,9,9,9,9
328,8,7,4,8,8
329,8,8,8,8,8
330,9,9,6,9,9
331,7,8,7,6,8
332,9,9,7,9,9
333,9,9,9,9,9
334,9,8,4,9,9
335,9,8,6,9,9
336,9,9,9,9,6
337,9,9,7,7,9
338,9,8,7,7,9
339,9,8,9,9,9
340,9,9,8,9,9
341,10,10,6,10,10
342,10,8,10,10,10
343,10,8,7,8,10
344,10,9,8,10,10
345,8,8,9,9,9
346,9,8,9,9,9
347,9,8,8,8,9
348,7,9,9,9,9
349,9,8,9,9,8
350,9,9,9,9,9
351,10,8,8,10,10
352,10,9,9,10,9
353,10,9,10,10,10
354,10,9,9,9,10
355,10,8,5,6,10
356,9,9,8,10,9
357,10,10,10,8,6
358,10,8,6,10,10
359,10,8,7,10,10
360,10,9,8,10,8
361,11,11,11,6,11
362,11,8,8,8,11
363,11,8,11,6,11
364,11,9,7,11,11
365,10,9,8,10,10
366,10,9,10,10,10
367,11,8,7,11,11
368,11,9,5,11,11
369,11,10,8,8,11
370,11,9,8,8,11
371,12,12,4,4,12
372,12,8,6,8,12
373,12,8,6,6,12
374,12,9,6,12,12
375,12,11,10,10,12
376,12,9,6,10,10
377,8,8,6,6,8
378,9,7,5,5,9
379,8,8,6,6,8
380,9,9,1,8,9
381,9,7,8,8,9
382,9,8,8,8,9
383,10,10,10,10,10
384,10,7,7,10,10
385,10,8,10,10,10
386,9,7,9,9,9
387,8,8,8,8,8
388,9,7,9,9,6
389,9,8,9,9,9
390,10,7,4,10,10
391,9,7,9,7,7
392,8,8,9,9,9
393,10,10,5,6,6
394,10,7,7,6,8
395,10,8,6,6,10
396,11,11,3,11,11
397,11,7,8,8,11
398,11,8,8,8,11
399,9,9,9,8,9
400,10,9,10,10,10
401,9,9,10,10,10
402,9,9,7,9,6
403,8,9,6,6,10
404,10,10,6,10,9
405,10,8,7,10,10
406,10,10,6,6,10
407,11,9,11,8,11
408,10,9,8,8,11
409,11,10,6,11,11
410,9,9,7,7,9
411,9,9,8,8,9
412,9,9,9,9,9
413,9,8,9,9,9
414,8,9,9,9,9
415,10,10,4,10,10
416,10,8,4,10,6
417,10,9,10,6,10
418,9,8,7,9,9
419,9,9,9,8,9
420,10,8,8,10,10
421,10,10,8,10,10
422,10,8,8,10,10
423,9,9,10,9,10
424,11,11,7,11,11
425,11,8,11,11,8
426,11,9,8,8,11
427,10,8,7,6,10
428,10,9,6,10,10
429,9,9,9,9,9
430,8,9,8,10,10
431,10,8,9,10,10
432,8,10,9,10,8
433,11,9,6,7,11
434,11,9,6,11,11
435,11,10,8,11,11
436,10,8,10,10,10
437,8,8,8,8,10
438,10,8,6,6,10
439,11,11,8,8,11
440,11,8,6,11,11
441,11,8,8,8,11
442,11,9,8,8,11
443,10,8,10,10,10
444,11,11,11,11,11
445,11,8,7,11,11
446,11,8,11,11,7
447,11,9,8,11,11
448,10,8,10,10,10
449,10,9,8,10,8
450,11,11,11,11,11
451,11,8,7,11,11
452,11,8,11,11,11
453,11,9,11,11,9
454,12,12,6,12,12
455,12,8,6,12,12
456,12,8,8,6,12
457,12,9,6,8,12
458,10,9,8,8,10
459,11,9,7,9,10
460,11,10,8,10,11
461,12,9,6,12,12
462,12,10,8,8,12
463,11,10,7,12,9
464,12,10,7,6,11
465,10,9,8,8,10
466,10,10,10,9,9
467,10,10,6,10,10
468,10,9,8,10,10
469,10,10,10,10,10
470,11,11,11,11,11
471,11,9,9,11,7
472,11,10,11,9,11
473,10,9,9,10,7
474,11,9,11,11,11
475,11,9,10,9,10
476,11,10,11,11,11
477,11,9,11,11,11
478,11,10,8,8,11
479,11,11,8,8,11
480,11,9,11,11,11
481,11,9,9,11,11
482,11,10,11,11,10
483,12,12,10,12,12
484,12,9,10,12,12
485,12,9,10,10,12
486,12,10,8,12,12
487,11,10,10,10,9
488,12,9,8,12,1
489,12,10,10,10,9
490,12,10,9,12,11
491,12,10,10,12,10
492,13,13,9,11,13
493,13,9,9,6,13
494,13,9,9,8,13
495,13,10,10,10,13
496,13,11,7,9,13
497,13,10,9,13,13
498,10,10,6,11,11
499,11,10,8,11,11
500,12,12,6,12,12
501,12,9,6,6,12
502,12,10,6,12,12
503,11,10,11,8,11
504,12,9,10,12,6
505,12,9,6,12,12
506,12,10,10,12,12
507,13,13,9,13,13
508,13,9,8,8,7
509,13,10,9,13,13
510,12,10,8,8,9
511,13,10,7,13,11
512,13,11,10,10,13
513,11,11,7,11,11
514,12,12,12,10,12
515,12,11,10,9,12
516,13,13,9,13,13
517,13,10,9,13,13
518,13,11,13,13,13
519,12,10,10,10,12
520,13,10,13,11,13
521,13,11,13,13,13
522,13,10,9,13,13
523,13,10,13,13,13
524,14,14,8,14,8
525,14,10,8,12,12
526,14,10,12,10,12
527,14,11,12,14,14
528,14,11,12,14,14
529,14,12,10,12,14
530,15,15,15,15,15
531,15,11,11,15,15
532,15,12,12,15,15
533,12,12,15,15,15
534,7,7,7,7,7
535,7,7,5,7,7
536,7,7,5,7,7
537,7,7,6,7,7
538,7,6,7,7,7
539,7,7,7,7,6
540,7,7,7,4,7
541,7,7,7,7,7
542,7,7,7,7,7
543,7,7,5,7,7
544,7,7,4,7,7
545,7,7,6,5,7
546,7,7,6,6,7
547,8,8,6,6,8
548,8,7,8,8,8
549,8,8,7,7,8
550,8,8,7,8,8
551,8,8,8,8,8
552,8,8,8,8,8
553,7,7,7,7,7
554,7,7,5,7,7
555,8,7,6,8,8
556,7,8,8,7,7
557,8,7,8,8,6
558,7,8,6,8,8
559,7,7,7,7,7
560,7,6,5,6,7
561,7,6,5,5,7
562,7,7,6,6,7
563,7,7,7,7,7
564,7,7,7,7,7
565,7,7,7,7,5
566,7,7,5,7,7
567,7,7,7,7,7
568,7,7,5,7,7
569,8,8,8,8,8
570,8,7,5,8,8
571,8,8,4,4,8
572,8,7,8,8,8
573,8,7,5,8,8
574,8,8,8,8,8
575,8,7,6,6,8
576,7,8,5,6,8
577,7,7,5,4,7
578,7,7,5,5,7
579,7,7,6,6,7
580,7,7,7,7,7
581,8,8,5,8,8
582,8,7,7,8,8
583,8,8,6,8,8
584,8,7,6,8,8
585,8,8,8,8,8
586,8,7,8,8,8
587,8,8,8,8,8
588,8,7,4,8,8
589,8,8,6,6,8
590,9,8,5,6,9
591,9,8,9,9,9
592,9,8,9,9,9
593,9,8,5,7,7
594,7,7,5,7,7
595,8,8,6,6,8
596,7,6,5,7,7
597,7,7,5,7,7
598,7,6,5,7,7
599,8,7,6,6,8
600,7,7,6,6,7
601,8,8,6,6,8
602,8,8,3,8,8
603,8,6,6,8,8
604,8,6,7,8,8
605,8,7,7,7,8
606,8,6,7,6,8
607,8,7,6,7,8
608,8,7,8,7,8
609,8,8,8,8,8
610,7,7,7,7,7
611,8,8,8,8,8
612,7,7,7,7,7
613,8,8,4,8,8
614,8,7,8,8,8
615,8,8,8,8,6
616,8,7,4,8,8
617,7,7,8,8,8
618,8,8,8,8,8
619,8,7,4,8,8
620,8,8,6,8,8
621,9,9,9,9,9
622,9,7,5,9,9
623,9,9,3,9,9
624,9,7,8,8,9
625,9,7,7,8,9
626,9,8,7,7,9
627,7,7,8,8,9
628,8,8,8,8,9
629,8,8,8,8,8
630,8,7,8,8,8
631,8,7,8,8,7
632,8,8,6,8,8
633,8,7,6,6,8
634,8,8,7,6,7
635,9,8,9,9,9
636,9,8,5,6,9
637,9,8,7,9,6
638,9,8,5,8,9
639,9,7,8,8,9
640,8,8,8,8,9
641,10,9,5,9,10
642,10,8,6,7,10
643,10,9,6,6,10
644,10,8,4,10,10
645,7,7,7,7,7
646,8,8,6,6,8
647,8,8,8,8,8
648,9,9,9,7,9
649,8,7,7,8,8
650,8,8,7,8,8
651,8,7,6,8,8
652,9,9,9,8,9
653,8,7,8,6,8
654,8,8,8,8,8
655,8,7,8,8,8
656,9,8,8,9,9
657,9,8,9,9,9
658,9,8,9,7,9
659,9,8,9,9,9
660,9,8,9,9,9
661,8,8,9,9,9
662,9,9,9,9,9
663,10,9,10,8,10
664,10,9,10,10,10
665,8,7,6,6,8
666,9,8,7,7,9
667,8,8,6,6,8
668,7,9,8,8,9
669,8,8,8,8,8
670,7,7,8,8,8
671,8,8,6,6,8
672,8,8,8,8,8
673,8,8,8,4,8
674,9,9,9,9,9
675,7,7,8,8,8
676,8,8,8,8,8
677,8,8,6,6,8
678,8,9,8,8,9
679,8,8,8,8,8
680,8,7,7,8,8
681,8,7,6,8,8
682,8,8,8,8,8
683,8,8,8,8,8
684,9,9,8,8,9
685,9,9,6,9,9
686,9,7,7,7,9
687,7,7,7,9,9
688,9,8,9,9,9
689,8,8,6,7,9
690,9,9,8,9,9
691,7,7,8,8,8
692,9,9,6,9,9
693,9,8,5,9,9
694,9,9,5,9,9
695,8,7,8,8,8
696,9,8,8,9,8
697,9,8,9,9,9
698,9,8,9,9,9
699,7,8,9,9,9
700,9,8,9,9,9
701,9,7,6,9,9
702,9,8,6,9,6
703,10,9,8,10,10
704,10,8,8,10,10
705,8,9,8,10,10
706,10,8,8,10,10
707,10,9,10,10,10
708,10,9,10,10,10
709,11,10,11,11,9
710,11,9,9,11,11
711,8,8,8,8,8
712,8,9,9,8,9
713,9,7,6,6,9
714,9,8,6,7,9
715,7,8,6,6,8
716,8,9,6,6,9
717,9,7,7,7,9
718,9,8,8,8,8
719,9,8,8,8,9
720,8,9,8,8,9
721,8,8,8,8,8
722,9,9,8,9,7
723,7,7,9,9,9
724,9,8,7,9,9
725,8,8,6,8,8
726,9,9,6,9,9
727,10,10,10,10,10
728,10,7,6,10,10
729,10,7,6,7,10
730,10,8,6,10,10
731,10,8,8,8,10
732,10,9,8,8,10
733,10,9,4,10,10
734,10,9,8,8,10
735,10,9,8,10,10
736,10,8,8,10,10
737,9,7,6,8,10
738,10,8,8,8,10
739,11,10,7,11,11
740,11,8,7,11,7
741,11,10,7,11,11
742,11,8,8,8,9
743,12,11,10,12,12
744,12,9,8,12,12
745,8,6,4,8,8
746,7,7,4,7,7
747,8,8,8,8,8
748,7,7,4,4,7
749,7,7,6,7,7
750,7,7,5,5,7
751,7,6,7,7,7
752,8,6,8,8,8
753,7,6,6,5,7
754,7,7,5,5,7
755,8,8,4,4,8
756,8,8,7,7,8
757,8,7,7,7,8
758,8,6,7,8,8
759,8,6,8,8,8
760,8,7,8,6,8
761,8,8,8,6,8
762,7,7,6,7,7
763,8,7,6,8,8
764,7,7,5,6,7
765,7,7,7,7,7
766,8,7,8,8,8
767,8,8,8,8,8
768,8,8,4,7,8
769,8,8,6,8,8
770,8,7,8,8,8
771,8,7,6,8,8
772,8,8,7,8,8
773,8,8,4,8,8
774,8,8,8,8,8
775,9,9,5,5,9
776,9,8,5,9,9
777,9,7,6,5,9
778,9,9,6,9,9
779,9,9,6,6,9
780,9,9,6,6,9
781,8,8,6,8,8
782,8,8,6,6,8
783,8,7,6,6,8
784,7,7,6,6,7
785,8,8,8,6,8
786,8,8,6,8,8
787,8,8,7,8,8
788,8,7,8,6,8
789,8,8,8,7,8
790,8,8,8,8,8
791,8,8,8,8,8
792,8,7,8,8,7
793,8,8,8,8,8
794,9,9,9,9,9
795,9,8,3,9,9
796,8,8,8,8,8
797,9,8,9,8,8
798,8,8,5,8,8
799,8,8,4,6,8
800,9,9,7,8,9
801,8,8,5,9,9
802,8,9,8,9,8
803,9,9,7,8,9
804,8,9,4,9,9
805,8,9,8,8,9
806,9,9,8,8,9
807,8,7,8,8,8
808,8,8,4,7,8
809,8,8,6,7,8
810,9,9,9,8,9
811,9,8,6,9,7
812,9,8,8,8,9
813,9,9,3,7,9
814,9,9,9,9,9
815,9,9,9,9,9
816,9,7,7,7,9
817,8,7,7,7,8
818,9,9,8,8,9
819,8,8,8,8,8
820,9,8,9,7,9
821,8,8,6,8,8
822,8,8,6,8,8
823,9,8,8,6,9
824,9,8,6,9,9
825,9,9,7,9,9
826,9,9,8,9,8
827,9,9,7,9,9
828,9,9,6,9,8
829,9,9,8,8,9
830,8,8,2,8,8
831,9,9,5,5,9
832,8,7,3,8,8
833,8,7,5,7,8
834,8,8,8,8,8
835,8,8,8,8,8
836,9,9,8,8,9
837,9,8,9,9,9
838,7,8,6,7,8
839,8,8,5,6,8
840,9,8,5,9,9
841,9,7,5,5,9
842,9,8,6,9,9
843,8,8,4,9,9
844,9,9,6,9,9
845,9,9,6,6,9
846,9,9,9,9,9
847,8,9,8,8,9
848,9,9,5,9,9
849,9,8,9,8,9
850,9,8,7,9,9
851,9,8,9,9,9
852,9,9,3,9,9
853,9,9,8,9,9
854,9,9,9,8,9
855,9,9,7,9,9
856,10,10,5,10,10
857,10,8,7,8,8
858,10,9,8,7,10
859,10,8,10,10,7
860,10,10,4,10,10
861,10,10,7,10,10
862,10,10,6,8,10
863,9,10,8,7,8
864,9,9,8,8,7
865,9,8,7,9,9
866,9,9,6,9,9
867,9,9,6,6,5
868,9,8,6,6,9
869,9,9,8,8,9
870,9,8,8,8,7
871,9,9,9,9,9
872,9,9,9,9,7
873,7,9,7,9,9
874,9,9,8,9,6
875,7,9,9,9,9
876,10,8,10,10,10
877,9,9,7,10,9
878,10,10,8,8,10
879,10,10,8,8,10
880,10,10,6,10,10
881,10,9,6,10,10
882,10,10,8,8,10
883,10,9,7,8,9
884,9,9,8,8,9
885,8,8,7,8,7
886,9,8,9,9,9
887,9,8,9,7,9
888,8,8,8,8,8
889,8,9,9,9,9
890,8,7,8,8,8
891,9,9,6,9,8
892,9,8,6,9,9
893,9,9,9,9,9
894,7,9,6,9,9
895,10,10,8,8,10
896,8,9,6,7,9
897,10,10,10,8,10
898,8,8,8,5,8
899,10,10,10,10,10
900,8,8,9,8,8
901,10,10,5,10,10
902,8,7,6,6,8
903,9,7,7,7,9
904,9,7,6,7,9
905,8,8,6,6,8
906,8,7,8,7,9
907,10,8,6,9,10
908,9,7,8,8,8
909,10,8,9,9,10
910,9,7,5,6,9
911,8,8,6,6,8
912,9,8,7,7,9
913,9,7,8,8,8
914,10,8,7,10,10
915,8,8,9,8,9
916,10,8,10,10,10
917,8,8,8,8,8
918,9,7,9,9,8
919,8,7,8,8,8
920,9,7,9,9,9
921,8,8,9,8,8
922,8,8,8,8,8
923,9,9,9,9,9
924,8,8,8,8,8
925,9,9,9,9,9
926,8,8,8,8,8
927,9,9,9,9,9
928,8,8,9,6,9
929,8,8,6,4,8
930,8,9,8,9,9
931,9,8,8,9,9
932,9,9,9,7,9
933,9,9,9,7,9
934,8,8,8,8,8
935,8,9,9,7,9
936,9,9,4,7,7
937,10,10,6,10,10
938,9,9,6,8,9
939,10,10,10,8,10
940,8,8,6,6,9
941,9,9,6,8,9
942,9,9,7,7,9
943,9,9,8,8,9
944,8,9,6,9,9
945,10,10,10,10,10
946,9,9,8,8,9
947,10,10,10,10,10
948,8,7,8,8,8
949,8,8,8,8,8
950,8,7,8,8,8
951,8,6,6,8,8
952,9,8,6,9,9
953,9,7,7,9,9
954,7,7,7,7,7
955,7,8,8,8,8
956,8,7,8,8,8
957,7,8,8,8,8
958,7,7,6,8,8
959,8,8,6,8,8
960,9,8,5,9,9
961,9,8,6,5,9
962,9,8,7,9,9
963,9,8,9,7,8
964,9,9,7,7,9
965,8,7,6,6,8
966,9,8,8,8,8
967,9,8,4,6,9
968,9,9,7,7,9
969,9,8,8,9,9
970,9,8,8,8,9
971,9,8,8,8,8
972,9,9,8,8,9
973,9,7,8,8,8
974,9,8,9,8,9
975,10,9,4,9,10
976,10,9,8,8,10
977,10,9,10,10,6
978,10,8,8,10,10
979,10,8,8,10,10
980,8,9,9,9,9
981,9,8,9,6,9
982,8,9,7,9,9
983,10,9,5,9,10
984,8,9,10,10,10
985,10,10,6,6,10
986,9,8,9,9,9
987,10,10,6,7,9
988,9,8,7,9,9
989,10,10,10,10,9
990,9,9,8,7,9
991,9,10,6,8,10
992,9,9,8,8,9
993,10,10,8,8,10
994,8,9,7,10,10
995,10,10,7,8,10
996,9,9,8,8,10
997,10,10,6,7,10
998,9,9,7,7,9
999,9,9,8,8,9
1000,9,8,9,7,7
1001,8,8,8,8,8
1002,9,8,9,9,9
1003,9,8,9,9,9
1004,8,8,3,9,9
1005,10,9,4,6,10
1006,8,8,5,9,9
1007,10,9,10,8,10
1008,8,8,8,8,8
1009,8,8,8,8,8
1010,9,9,9,9,8
1011,8,8,8,8,8
1012,8,8,8,8,8
1013,8,8,6,8,8
1014,9,9,8,9,9
1015,8,8,6,6,8
1016,9,9,9,8,9
1017,8,7,6,8,8
1018,9,8,8,9,9
1019,8,7,8,8,8
1020,8,8,8,8,9
1021,9,8,7,9,9
1022,8,9,8,9,8
1023,9,8,6,9,8
1024,9,8,7,9,9
1025,8,9,7,9,9
1026,9,8,9,9,9
1027,8,8,8,9,6
1028,10,9,8,10,10
1029,9,8,7,9,9
1030,10,9,8,10,10
1031,7,7,6,6,7
1032,8,8,6,8,8
1033,8,8,4,8,7
1034,8,7,8,8,8
1035,9,9,8,9,9
1036,8,8,8,8,8
1037,8,9,6,9,9
1038,9,8,4,6,9
1039,9,8,5,9,8
1040,9,8,8,9,9
1041,9,9,8,9,9
1042,8,7,8,8,8
1043,8,8,8,9,9
1044,9,8,7,9,9
1045,9,8,7,8,9
1046,9,8,9,9,9
1047,8,8,9,9,9
1048,8,8,4,9,9
1049,9,9,6,6,9
1050,8,7,8,9,9
1051,9,8,8,9,9
1052,10,9,8,10,8
1053,10,9,10,10,10
1054,10,9,9,10,9
1055,10,8,9,9,10
1056,8,8,8,9,9
1057,9,8,7,9,9
1058,9,8,6,9,9
1059,8,9,9,9,9
1060,9,8,9,9,9
1061,8,9,9,9,9
1062,10,9,9,10,10
1063,10,9,9,9,10
1064,9,9,6,6,9
1065,10,10,6,8,10
1066,10,9,7,10,10
1067,10,10,8,10,10
1068,10,9,10,10,6
1069,10,10,8,10,7
1070,8,8,4,6,8
1071,7,8,6,8,8
1072,7,7,5,7,8
1073,8,7,7,7,8
1074,8,8,8,8,8
1075,8,8,6,7,8
1076,8,9,8,8,9
1077,8,8,8,6,8
1078,8,8,4,8,8
1079,9,9,7,7,9
1080,8,8,7,7,9
1081,8,8,4,8,8
1082,8,9,7,7,9
1083,9,7,6,9,9
1084,9,8,5,7,6
1085,9,7,6,6,9
1086,8,8,8,8,9
1087,9,8,6,9,9
1088,9,9,8,8,9
1089,7,8,6,8,8
1090,9,9,9,9,9
1091,7,8,6,8,8
1092,8,8,7,7,8
1093,8,8,6,8,8
1094,9,9,6,6,9
1095,8,7,7,8,8
1096,8,8,8,6,8
1097,7,8,6,8,8
1098,9,9,8,8,9
1099,9,7,8,7,9
1100,8,8,6,6,9
1101,9,8,6,7,9
1102,9,7,8,8,9
1103,9,8,8,8,9
1104,8,8,8,8,9
1105,9,9,8,7,9
1106,7,8,8,8,8
1107,8,8,8,8,8
1108,8,8,8,8,8
1109,9,9,8,7,7
1110,9,7,9,9,5
1111,9,9,7,9,9
1112,9,8,7,9,9
1113,9,7,6,9,9
1114,9,8,8,8,8
1115,9,8,7,9,9
1116,9,9,7,9,9
1117,9,9,7,9,9
1118,9,7,9,9,9
1119,9,8,7,9,9
1120,8,8,8,9,7
1121,9,7,4,5,9
1122,8,8,8,9,8
1123,9,8,8,9,9
1124,9,9,8,8,9
1125,10,10,6,6,10
1126,10,7,6,6,10
1127,10,9,7,10,10
1128,10,8,7,10,8
1129,10,7,6,10,10
1130,8,8,8,8,10
1131,10,8,7,7,10
1132,10,9,7,10,10
1133,8,9,8,8,9
1134,9,8,7,9,9
1135,10,9,7,7,10
1136,9,8,8,8,9
1137,8,9,6,10,10
1138,9,9,8,8,9
1139,9,9,8,8,10
1140,9,9,6,9,6
1141,8,9,6,9,9
1142,9,8,6,7,9
1143,9,8,7,7,9
1144,8,9,6,8,9
1145,9,8,8,8,9
1146,9,9,8,8,9
1147,8,9,9,9,9
