graph_number,GW,greedy,qaoa(p=1),qaoa(p=2),qaoa(p=3)
1,4,4,4,4,4
2,4,4,4,4,4
3,4,4,4,4,4
4,4,4,4,4,4
5,5,5,4,3,5
6,5,4,4,5,5
7,6,6,4,6,6
8,6,4,6,6,6
9,4,4,2,4,4
10,4,4,3,4,4
11,4,4,4,4,4
12,5,4,4,5,5
13,4,5,5,5,5
14,4,4,4,4,4
15,4,4,4,5,5
16,4,5,4,4,5
17,6,5,6,6,6
18,6,5,4,5,6
19,6,6,6,6,6
20,6,6,3,6,6
21,6,6,6,6,6
